s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,action,next_s0,next_s1,next_s2,next_s3,next_s4,next_s5,next_s6,next_s7,next_s8,next_s9,next_s10,next_s11,next_s12,next_s13,next_s14,next_s15,next_s16,next_s17,next_s18,next_s19,next_s20,next_s21,next_s22,next_s23,next_s24,next_s25,next_s26,next_s27,next_s28,next_s29,next_s30,next_s31,next_s32,next_s33,reward
4.0,0.000505,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0005,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000547,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.00052,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000519,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000519,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000516,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000562,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000505,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0005,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000547,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000538,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000537,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000537,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000534,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000581,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000505,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0005,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000547,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000558,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000557,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000556,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000553,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0006,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000505,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0005,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000547,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000576,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000575,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000575,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000572,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000618,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000505,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000504,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0005,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000547,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000595,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000594,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000593,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00059,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000637,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000615,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00061,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000654,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.00063,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000629,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000629,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000625,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000669,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000615,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00061,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000654,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000648,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000647,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000647,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000644,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000687,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000615,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00061,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000654,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000666,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000665,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000665,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000662,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000705,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000615,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00061,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000654,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000684,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000683,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000683,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00068,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000723,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000615,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000614,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00061,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000654,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000702,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000701,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000701,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000697,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000741,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000722,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000717,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000757,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.000737,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000736,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000735,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000732,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000771,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000722,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000717,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000757,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000754,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000753,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000753,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00075,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000789,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000722,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000717,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000757,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000772,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000771,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000771,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000767,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000807,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000722,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000717,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000757,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.00079,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000789,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000789,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000785,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000825,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000722,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000721,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000717,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000757,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000808,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000807,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000807,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000803,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000843,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000828,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000827,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000826,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000823,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00086,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.000843,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000841,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000841,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000838,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000874,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000828,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000827,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000826,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000823,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00086,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000861,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00086,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00086,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000856,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000893,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000828,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000827,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000826,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000823,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00086,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000879,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000878,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000878,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000874,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000911,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
